ville,date,temp_max,temp_min,precipitation,pluie,neige
Antananarivo,2022-07-19,18.1,11.0,0.3,0.3,0.0
Antananarivo,2022-07-20,17.4,11.1,0.5,0.5,0.0
Antananarivo,2022-07-21,16.7,10.2,2.0,2.0,0.0
Antananarivo,2022-07-22,17.8,8.6,0.5,0.5,0.0
Antananarivo,2022-07-23,18.2,11.2,0.6,0.6,0.0
Antananarivo,2022-07-24,18.9,11.5,0.0,0.0,0.0
Antananarivo,2022-07-25,19.8,8.7,0.0,0.0,0.0
Antananarivo,2022-07-26,20.9,8.9,0.0,0.0,0.0
Antananarivo,2022-07-27,20.2,10.5,0.0,0.0,0.0
Antananarivo,2022-07-28,22.7,7.5,0.0,0.0,0.0
Antananarivo,2022-07-29,18.3,12.1,0.0,0.0,0.0
Antananarivo,2022-07-30,19.8,12.7,0.9,0.9,0.0
Antananarivo,2022-07-31,20.6,9.9,0.0,0.0,0.0
Antananarivo,2022-08-01,21.1,9.5,0.0,0.0,0.0
Antananarivo,2022-08-02,20.8,10.5,0.0,0.0,0.0
Antananarivo,2022-08-03,19.7,10.2,0.3,0.3,0.0
Antananarivo,2022-08-04,20.1,11.3,0.1,0.1,0.0
Antananarivo,2022-08-05,21.0,8.4,0.0,0.0,0.0
Antananarivo,2022-08-06,22.2,8.7,0.0,0.0,0.0
Antananarivo,2022-08-07,21.4,7.9,0.0,0.0,0.0
Antananarivo,2022-08-08,20.1,7.0,0.0,0.0,0.0
Antananarivo,2022-08-09,18.7,8.4,0.0,0.0,0.0
Antananarivo,2022-08-10,19.1,9.3,0.8,0.8,0.0
Antananarivo,2022-08-11,17.6,9.3,0.0,0.0,0.0
Antananarivo,2022-08-12,18.8,10.7,0.1,0.1,0.0
Antananarivo,2022-08-13,19.4,7.7,0.0,0.0,0.0
Antananarivo,2022-08-14,20.3,8.8,0.0,0.0,0.0
Antananarivo,2022-08-15,21.9,8.3,0.0,0.0,0.0
Antananarivo,2022-08-16,25.8,11.2,0.0,0.0,0.0
Antananarivo,2022-08-17,23.7,11.2,0.0,0.0,0.0
Antananarivo,2022-08-18,24.6,11.5,0.0,0.0,0.0
Antananarivo,2022-08-19,23.7,9.0,0.0,0.0,0.0
Antananarivo,2022-08-20,23.4,8.8,0.0,0.0,0.0
Antananarivo,2022-08-21,26.4,9.3,0.0,0.0,0.0
Antananarivo,2022-08-22,20.5,11.1,0.0,0.0,0.0
Antananarivo,2022-08-23,22.1,7.9,0.0,0.0,0.0
Antananarivo,2022-08-24,20.0,9.9,0.3,0.3,0.0
Antananarivo,2022-08-25,18.8,10.1,0.3,0.3,0.0
Antananarivo,2022-08-26,19.1,10.6,0.6,0.6,0.0
Antananarivo,2022-08-27,19.6,8.9,0.0,0.0,0.0
Antananarivo,2022-08-28,20.3,10.7,0.7,0.7,0.0
Antananarivo,2022-08-29,25.0,9.5,0.0,0.0,0.0
Antananarivo,2022-08-30,25.3,13.2,0.0,0.0,0.0
Antananarivo,2022-08-31,26.3,14.0,0.0,0.0,0.0
Antananarivo,2022-09-01,22.7,9.6,0.0,0.0,0.0
Antananarivo,2022-09-02,22.8,9.8,0.0,0.0,0.0
Antananarivo,2022-09-03,23.0,11.4,0.0,0.0,0.0
Antananarivo,2022-09-04,21.6,11.3,0.0,0.0,0.0
Antananarivo,2022-09-05,18.9,11.1,0.5,0.5,0.0
Antananarivo,2022-09-06,20.8,12.1,0.4,0.4,0.0
Antananarivo,2022-09-07,22.4,9.1,0.0,0.0,0.0
Antananarivo,2022-09-08,22.1,10.6,0.0,0.0,0.0
Antananarivo,2022-09-09,23.0,11.1,0.0,0.0,0.0
Antananarivo,2022-09-10,22.3,8.9,0.0,0.0,0.0
Antananarivo,2022-09-11,23.1,11.3,0.0,0.0,0.0
Antananarivo,2022-09-12,22.4,10.0,0.0,0.0,0.0
Antananarivo,2022-09-13,25.3,7.0,0.0,0.0,0.0
Antananarivo,2022-09-14,22.7,11.3,0.0,0.0,0.0
Antananarivo,2022-09-15,20.1,8.3,0.0,0.0,0.0
Antananarivo,2022-09-16,21.5,10.4,0.0,0.0,0.0
