ville,date,temp_max,temp_min,precipitation,pluie,neige
São Paulo,2022-07-19,25.9,16.1,0.1,0.1,0.0
São Paulo,2022-07-20,22.3,15.6,0.1,0.1,0.0
São Paulo,2022-07-21,25.0,15.0,0.0,0.0,0.0
São Paulo,2022-07-22,26.1,12.1,0.0,0.0,0.0
São Paulo,2022-07-23,25.6,11.1,0.0,0.0,0.0
São Paulo,2022-07-24,25.8,11.4,0.0,0.0,0.0
São Paulo,2022-07-25,25.7,11.7,0.0,0.0,0.0
São Paulo,2022-07-26,23.9,11.4,0.0,0.0,0.0
São Paulo,2022-07-27,26.2,13.5,0.0,0.0,0.0
São Paulo,2022-07-28,26.4,12.9,0.0,0.0,0.0
São Paulo,2022-07-29,21.2,12.2,5.8,5.8,0.0
São Paulo,2022-07-30,17.2,9.2,0.0,0.0,0.0
São Paulo,2022-07-31,20.8,9.0,0.0,0.0,0.0
São Paulo,2022-08-01,26.2,9.5,0.0,0.0,0.0
São Paulo,2022-08-02,25.4,11.3,0.0,0.0,0.0
São Paulo,2022-08-03,24.5,10.9,0.0,0.0,0.0
São Paulo,2022-08-04,28.2,12.1,0.0,0.0,0.0
São Paulo,2022-08-05,26.5,14.0,0.5,0.5,0.0
São Paulo,2022-08-06,20.7,12.2,0.0,0.0,0.0
São Paulo,2022-08-07,20.5,14.6,1.2,1.2,0.0
São Paulo,2022-08-08,20.9,15.9,15.1,15.1,0.0
São Paulo,2022-08-09,21.5,15.1,8.7,8.7,0.0
São Paulo,2022-08-10,16.7,10.5,6.9,6.9,0.0
São Paulo,2022-08-11,16.3,10.9,1.6,1.6,0.0
São Paulo,2022-08-12,19.3,11.5,0.0,0.0,0.0
São Paulo,2022-08-13,23.8,10.3,0.0,0.0,0.0
São Paulo,2022-08-14,24.4,10.0,0.0,0.0,0.0
São Paulo,2022-08-15,26.0,12.8,0.0,0.0,0.0
São Paulo,2022-08-16,28.5,14.3,0.0,0.0,0.0
São Paulo,2022-08-17,23.0,13.7,0.1,0.1,0.0
São Paulo,2022-08-18,28.7,16.7,0.0,0.0,0.0
São Paulo,2022-08-19,17.0,8.8,4.4,4.4,0.0
São Paulo,2022-08-20,13.7,9.0,0.0,0.0,0.0
São Paulo,2022-08-21,18.0,8.9,0.0,0.0,0.0
São Paulo,2022-08-22,19.4,9.2,0.0,0.0,0.0
São Paulo,2022-08-23,22.0,10.6,0.0,0.0,0.0
São Paulo,2022-08-24,23.8,12.2,0.0,0.0,0.0
São Paulo,2022-08-25,25.4,13.0,0.0,0.0,0.0
